store_risk_rank_desc,persistent_id_store,store_max_predicted_proba,store_predicted_positive_thr012,obs_month_start,obs_month,LOCATION_NAME,LATITUDE,LONGITUDE
1,7295274,0.3180761,1,2026-01-01,2026-01,Bagel Boss,40.7323615,-73.982199
2,5819222,0.30660087,1,2026-01-01,2026-01,Benihana Inc.,40.8292835,-73.9278715
3,7126517,0.29677576,1,2026-01-01,2026-01,OddFellows Ice Cream Co,40.716138,-73.9667255
4,1257142,0.27940845,1,2025-12-01,2025-12,Starbucks Corporation,40.7526391,-73.9929152
5,6297182,0.20721206,1,2025-12-01,2025-12,"Peachwave, LLC",40.859309,-73.8983445
6,5568576,0.1918342,1,2026-01-01,2026-01,Arby's,40.7385159,-73.7936427
7,7020069,0.18747216,1,2025-12-01,2025-12,Hale and Hearty,40.705178,-74.0110355
8,13287952,0.18041523,1,2026-01-01,2026-01,Tropical Smoothie Cafe,40.7443585,-73.9254945
9,12892524,0.16886447,1,2026-01-01,2026-01,"Moe's Southwest Grill, LLC",40.714941,-73.7752245
10,6500069,0.16757755,1,2026-01-01,2026-01,Emmy Squared,40.7121835,-73.9557095
11,5970984,0.15599354,1,2026-01-01,2026-01,Juice Press,40.752779,-73.9759005
12,5766642,0.14784814,1,2026-01-01,2026-01,"Sweetgreen, Inc.",40.705733,-74.0083155
13,5199074,0.14248349,1,2025-12-01,2025-12,Tropical Smoothie Cafe,40.5163068,-74.2343654
14,12153133,0.13833205,1,2026-01-01,2026-01,MrBeast Burger,40.712826,-74.013365
15,7295138,0.13752095,1,2026-01-01,2026-01,Atomic Wings,40.7193605,-73.842248
16,5661117,0.13391079,1,2025-12-01,2025-12,Pret A Manger,40.7128036,-74.0133467
17,6167853,0.12882136,1,2026-01-01,2026-01,Tropical Smoothie Cafe,40.76211,-73.769993
18,5970960,0.1278774,1,2026-01-01,2026-01,Juice Press,40.728459,-74.0076735
19,1250731,0.12774828,1,2026-01-01,2026-01,Starbucks Corporation,40.7630577,-73.972449
20,6315411,0.12657326,1,2026-01-01,2026-01,Sticky's Finger Joint,40.75374,-73.9747315
21,7309047,0.12599258,1,2026-01-01,2026-01,Rosa Mexicano,40.740134,-73.998885
22,13054275,0.12066802,1,2025-12-01,2025-12,Juice Press,40.75258,-73.9951935
23,5969848,0.11991137,0,2025-12-01,2025-12,Juice Generation Inc.,40.7449655,-73.954867
24,11477809,0.11700368,0,2026-01-01,2026-01,Burger King,40.6280305,-74.1684915
25,5970259,0.114610344,0,2026-01-01,2026-01,Just Salad LLC,40.7527545,-73.995216
26,13288271,0.11243373,0,2026-01-01,2026-01,Buffalo Wild Wings Inc.,40.774675,-73.912877
27,1589044,0.11224429,0,2026-01-01,2026-01,Taco Bell,40.6893561,-73.8457927
28,4885888,0.10667437,0,2026-01-01,2026-01,Red Lobster Hospitality LLC.,40.8690476,-73.8271332
29,1252224,0.10253166,0,2026-01-01,2026-01,Starbucks Corporation,40.6709625,-73.9573213
30,522549,0.10148933,0,2025-12-01,2025-12,"Chipotle Mexican Grill, Inc.",40.73362,-73.9999595
31,2304135,0.09899495,0,2026-01-01,2026-01,Papa John's International Inc.,40.8208956,-73.9364339
32,7295147,0.09737143,0,2025-12-01,2025-12,Atomic Wings,40.7449375,-73.9214465
33,7309055,0.09480947,0,2026-01-01,2026-01,Rosa Mexicano,40.740154,-73.9988675
34,13368058,0.09298925,0,2026-01-01,2026-01,"Sweetgreen, Inc.",40.67971,-73.974675
35,521703,0.09144604,0,2026-01-01,2026-01,"Chipotle Mexican Grill, Inc.",40.7523412,-73.9943009
36,2304165,0.09141303,0,2026-01-01,2026-01,Papa John's International Inc.,40.7991567,-73.9669887
37,6171063,0.08846797,0,2026-01-01,2026-01,Tim Hortons Inc.,40.594366,-73.933454
38,4761705,0.086751014,0,2026-01-01,2026-01,Pret A Manger,40.7106601,-74.0081663
39,5521587,0.08656642,0,2026-01-01,2026-01,Five Guys Enterprises LLC,40.7524751,-73.994773
40,7244443,0.08612049,0,2025-12-01,2025-12,Gyu-Kaku Japanese Barbeque,40.7582115,-73.829871
41,7309846,0.085138924,0,2026-01-01,2026-01,Slutty Vegan,40.816365,-73.9473125
42,5568254,0.085036255,0,2026-01-01,2026-01,Arby's,40.7119634,-73.8853939
43,6356194,0.085026845,0,2026-01-01,2026-01,Muscle Maker Grill,40.819532,-73.817028
44,5715459,0.082945734,0,2026-01-01,2026-01,Starbucks Corporation,40.740425,-74.0049725
45,7238420,0.08216992,0,2025-12-01,2025-12,Ample Hills Creamery,40.7416825,-74.0014085
46,7298052,0.08126113,0,2026-01-01,2026-01,Chinah,40.7401335,-73.998847
47,5969166,0.08031778,0,2025-12-01,2025-12,"Chipotle Mexican Grill, Inc.",40.7603705,-73.8279875
48,7126428,0.07894421,0,2025-12-01,2025-12,Burger Village,40.7588725,-73.918291
49,13054277,0.07773258,0,2026-01-01,2026-01,Juice Press,40.7720395,-73.958633
50,1538752,0.07621213,0,2025-12-01,2025-12,"Domino's Pizza, Inc",40.7656133,-73.8169529
51,522263,0.07549618,0,2026-01-01,2026-01,"Chipotle Mexican Grill, Inc.",40.7420666,-74.0012621
52,6499906,0.07535733,0,2026-01-01,2026-01,Artichoke Basille's Pizza,40.7322035,-73.983868
53,12179963,0.07494002,0,2026-01-01,2026-01,Mango Mango Dessert,40.6041275,-73.997809
54,5766600,0.074788816,0,2026-01-01,2026-01,"Sweetgreen, Inc.",40.752768,-74.001128
55,5785570,0.0727129,0,2025-12-01,2025-12,Cold Stone Creamery,40.586755,-73.9292655
56,1502347,0.07255717,0,2025-12-01,2025-12,The Wendy's Company,40.8338083,-73.8529714
57,4676478,0.07093578,0,2025-12-01,2025-12,"Nathan's Famous, Inc.",40.7605125,-73.950977
58,11477827,0.0707474,0,2026-01-01,2026-01,Burger King,40.7219735,-73.8037805
59,5759688,0.0703414,0,2026-01-01,2026-01,Cinnabon,40.709647,-74.0119515
60,4665861,0.06987723,0,2025-12-01,2025-12,Baskin-Robbins,40.8077105,-73.918842
61,5073230,0.069212794,0,2025-12-01,2025-12,Olive Garden,40.5939371,-73.9982621
62,5877530,0.068930894,0,2026-01-01,2026-01,Philly Pretzel Factory,40.629759,-74.109422
63,1257327,0.06806838,0,2025-12-01,2025-12,Starbucks Corporation,40.727293,-73.9955335
64,1257495,0.06777387,0,2025-12-01,2025-12,Starbucks Corporation,40.8071373,-73.9649723
65,5429960,0.067200586,0,2026-01-01,2026-01,Starbucks Corporation,40.7366895,-74.0007726
66,11692158,0.06694572,0,2025-12-01,2025-12,"Dunkin' Brands Group, Inc.",40.862365,-73.8937955
67,12989025,0.06682666,0,2025-12-01,2025-12,Jollibee Foods Corporation,40.703814,-73.7983465
68,5715202,0.06676767,0,2026-01-01,2026-01,Starbucks Corporation,40.575606,-73.9774505
69,7299462,0.06600946,0,2025-12-01,2025-12,Dos Toros Taqueria,40.706943,-74.0068015
70,5379856,0.06583656,0,2025-12-01,2025-12,Burger King,40.6378975,-73.910315
71,5877528,0.06582319,0,2026-01-01,2026-01,Philly Pretzel Factory,40.714572,-73.8321565
72,5380015,0.06539819,0,2026-01-01,2026-01,Burger King,40.6168665,-73.9444846
73,2297877,0.06488439,0,2026-01-01,2026-01,"Domino's Pizza, Inc",40.632757,-73.8896207
74,1537406,0.0647158,0,2025-12-01,2025-12,Burger King,40.8296199,-73.8753067
75,2370522,0.06400963,0,2026-01-01,2026-01,"Chipotle Mexican Grill, Inc.",40.7165719,-73.9603689
76,12900453,0.060696486,0,2026-01-01,2026-01,Sonic Corp.,40.658189,-73.8898415
77,7249062,0.060266875,0,2026-01-01,2026-01,La Colombe,40.7056945,-74.008418
78,6297931,0.060243767,0,2026-01-01,2026-01,"Popeyes Louisiana Kitchen, Inc.",40.730777,-74.0019515
79,6315386,0.06017447,0,2025-12-01,2025-12,TKK Fried Chicken,40.760719,-73.8294545
80,1259625,0.05985437,0,2026-01-01,2026-01,Starbucks Corporation,40.7699473,-73.9547018
81,2304044,0.058132198,0,2026-01-01,2026-01,Papa John's International Inc.,40.6960575,-73.9330564
82,523124,0.057924017,0,2026-01-01,2026-01,"Chipotle Mexican Grill, Inc.",40.8845516,-73.9005168
83,11890710,0.05725237,0,2026-01-01,2026-01,"Sweetgreen, Inc.",40.747362,-73.942421
84,5853024,0.05683459,0,2026-01-01,2026-01,Le Pain Quotidien,40.7730465,-73.9743085
85,2382481,0.05656526,0,2025-12-01,2025-12,Burger King,40.657498,-73.9006459
86,5862207,0.056235995,0,2026-01-01,2026-01,Kentucky Fried Chicken,40.862129,-73.892128
87,1538664,0.056034558,0,2025-12-01,2025-12,"Domino's Pizza, Inc",40.7005618,-73.7897124
88,5070759,0.055992804,0,2025-12-01,2025-12,Starbucks Corporation,40.7121176,-74.0108577
89,1257590,0.055896595,0,2025-12-01,2025-12,Starbucks Corporation,40.7331721,-74.0027352
90,12183444,0.055791836,0,2025-12-01,2025-12,Pelicana Chicken,40.761056,-73.7694895
91,5766645,0.055000704,0,2026-01-01,2026-01,"Sweetgreen, Inc.",40.778039,-73.954868
92,5863335,0.054496445,0,2025-12-01,2025-12,Playa Bowls IP LLC,40.7021855,-74.012233
93,5811145,0.054247014,0,2025-12-01,2025-12,Burgerim,40.7210985,-73.8050705
94,1250725,0.05323087,0,2025-12-01,2025-12,Starbucks Corporation,40.7949321,-73.9656224
95,12175843,0.05316839,0,2026-01-01,2026-01,Red Crab Juicy Seafood,40.585384,-73.951892
96,1596878,0.052943137,0,2025-12-01,2025-12,Papa John's International Inc.,40.6327331,-73.9671865
97,11692621,0.052900176,0,2025-12-01,2025-12,"Dunkin' Brands Group, Inc.",40.7115695,-74.0114325
98,12173365,0.052058786,0,2025-12-01,2025-12,Tiger Sugar,40.759221,-73.829067
99,4974873,0.05162207,0,2025-12-01,2025-12,Morton's The Steakhouse,40.7097196,-74.0140384
100,13517272,0.05139963,0,2025-12-01,2025-12,Raising Cane's Restuarants LLC,40.7203925,-73.846066
101,7302659,0.051072463,0,2025-12-01,2025-12,Ippudo US,40.7635195,-73.9865795
102,5766585,0.050768934,0,2026-01-01,2026-01,"Sweetgreen, Inc.",40.726422,-73.991468
103,5772658,0.050650354,0,2025-12-01,2025-12,Sarku Japan,40.751044,-73.8703025
104,4761663,0.050342042,0,2026-01-01,2026-01,Pret A Manger,40.7101919,-74.0100254
105,7311557,0.049999174,0,2026-01-01,2026-01,Texas Chicken & Burgers,40.7529055,-73.8712025
106,6324200,0.049020205,0,2026-01-01,2026-01,"Fogo de Chao, Inc.",40.734412,-73.8674755
107,6266672,0.04876317,0,2025-12-01,2025-12,Carvel,40.7077065,-74.0059235
108,5819223,0.04832263,0,2025-12-01,2025-12,Benihana Inc.,40.763442,-73.97666
109,7249873,0.048290465,0,2025-12-01,2025-12,Menchie's Frozen Yogurt,40.886604,-73.909956
110,6315405,0.048206426,0,2026-01-01,2026-01,Sticky's Finger Joint,40.709431,-74.0089255
111,6496536,0.047729697,0,2026-01-01,2026-01,Luke's Lobster,40.7047035,-74.010719
112,2297917,0.047692895,0,2026-01-01,2026-01,"Domino's Pizza, Inc",40.8281374,-73.8814805
113,7316911,0.04738413,0,2025-12-01,2025-12,Xing Fu Tang,40.758196,-73.8297545
114,6015744,0.0470179,0,2026-01-01,2026-01,Pret A Manger,40.7501266,-73.9746249
115,805693,0.04692614,0,2026-01-01,2026-01,"Popeyes Louisiana Kitchen, Inc.",40.8191745,-73.927382
116,5556088,0.046791367,0,2026-01-01,2026-01,Jollibee Foods Corporation,40.746156,-73.9012715
117,1831847,0.046471436,0,2025-12-01,2025-12,Outback Steakhouse,40.6120291,-74.0093206
118,11909053,0.046214208,0,2026-01-01,2026-01,"Popeyes Louisiana Kitchen, Inc.",40.7596325,-73.918836
119,805610,0.04617718,0,2026-01-01,2026-01,"Popeyes Louisiana Kitchen, Inc.",40.8436846,-73.9380899
120,1538757,0.046065584,0,2025-12-01,2025-12,"Domino's Pizza, Inc",40.5965174,-74.0851135
121,1501078,0.04561588,0,2025-12-01,2025-12,The Wendy's Company,40.7428459,-73.9200434
122,7126519,0.045027174,0,2025-12-01,2025-12,OddFellows Ice Cream Co,40.6945675,-74.000624
123,5970252,0.04405643,0,2026-01-01,2026-01,Just Salad LLC,40.753631,-73.972731
124,1558979,0.04342418,0,2026-01-01,2026-01,Kentucky Fried Chicken,40.7118768,-73.7860499
125,5970968,0.04331067,0,2025-12-01,2025-12,Juice Press,40.739108,-74.0023705
126,1558935,0.04274659,0,2026-01-01,2026-01,Kentucky Fried Chicken,40.6893072,-73.9553656
127,6499905,0.04254504,0,2025-12-01,2025-12,Artichoke Basille's Pizza,40.706533,-74.0077375
128,5719972,0.042079106,0,2026-01-01,2026-01,Taco Bell,40.630935,-73.9191185
129,1255854,0.040968448,0,2025-12-01,2025-12,Starbucks Corporation,40.7411011,-74.0012167
130,12179952,0.04077612,0,2025-12-01,2025-12,Mango Mango Dessert,40.6407805,-74.0078975
131,4974871,0.0402883,0,2025-12-01,2025-12,Morton's The Steakhouse,40.7554269,-73.9789107
132,805013,0.040211357,0,2026-01-01,2026-01,"Popeyes Louisiana Kitchen, Inc.",40.6858643,-73.9161072
133,6007321,0.039813466,0,2025-12-01,2025-12,Crab Du Jour,40.678117,-73.776208
134,6266616,0.039758865,0,2025-12-01,2025-12,Carvel,40.833577,-73.8511315
135,805504,0.039688032,0,2026-01-01,2026-01,"Popeyes Louisiana Kitchen, Inc.",40.855865,-73.9293285
